Year,GEO,Age.group,Sex,Income.source,VALUE
2007,BC,45-54 yrs,Males,Employment income,62800
2008,BC,45-54 yrs,Males,Employment income,58300
2009,BC,45-54 yrs,Males,Employment income,50100
2010,BC,45-54 yrs,Males,Employment income,56700
2011,BC,45-54 yrs,Males,Employment income,60300
2012,BC,45-54 yrs,Males,Employment income,64000
2013,BC,45-54 yrs,Males,Employment income,61000
2014,BC,45-54 yrs,Males,Employment income,60600
2015,BC,45-54 yrs,Males,Employment income,68600
2016,BC,45-54 yrs,Males,Employment income,63000
2017,BC,45-54 yrs,Males,Employment income,62200
2018,BC,45-54 yrs,Males,Employment income,63000
1976,BC,45-54 yrs,Males,"Wages, salaries and commissions",72400
1977,BC,45-54 yrs,Males,"Wages, salaries and commissions",64200
1978,BC,45-54 yrs,Males,"Wages, salaries and commissions",69900
1979,BC,45-54 yrs,Males,"Wages, salaries and commissions",69400
1980,BC,45-54 yrs,Males,"Wages, salaries and commissions",69700
1981,BC,45-54 yrs,Males,"Wages, salaries and commissions",66300
1982,BC,45-54 yrs,Males,"Wages, salaries and commissions",67300
1983,BC,45-54 yrs,Males,"Wages, salaries and commissions",62200
1984,BC,45-54 yrs,Males,"Wages, salaries and commissions",59500
1985,BC,45-54 yrs,Males,"Wages, salaries and commissions",63500
1986,BC,45-54 yrs,Males,"Wages, salaries and commissions",65100
1987,BC,45-54 yrs,Males,"Wages, salaries and commissions",65000
1988,BC,45-54 yrs,Males,"Wages, salaries and commissions",68600
1989,BC,45-54 yrs,Males,"Wages, salaries and commissions",63000
1990,BC,45-54 yrs,Males,"Wages, salaries and commissions",68000
1991,BC,45-54 yrs,Males,"Wages, salaries and commissions",67700
1992,BC,45-54 yrs,Males,"Wages, salaries and commissions",64200
1993,BC,45-54 yrs,Males,"Wages, salaries and commissions",64800
1994,BC,45-54 yrs,Males,"Wages, salaries and commissions",69400
1995,BC,45-54 yrs,Males,"Wages, salaries and commissions",64200
1996,BC,45-54 yrs,Males,"Wages, salaries and commissions",66000
1997,BC,45-54 yrs,Males,"Wages, salaries and commissions",64300
1998,BC,45-54 yrs,Males,"Wages, salaries and commissions",63300
1999,BC,45-54 yrs,Males,"Wages, salaries and commissions",62600
2000,BC,45-54 yrs,Males,"Wages, salaries and commissions",64300
2001,BC,45-54 yrs,Males,"Wages, salaries and commissions",58700
2002,BC,45-54 yrs,Males,"Wages, salaries and commissions",59200
2003,BC,45-54 yrs,Males,"Wages, salaries and commissions",66800
2004,BC,45-54 yrs,Males,"Wages, salaries and commissions",64600
2005,BC,45-54 yrs,Males,"Wages, salaries and commissions",65400
2006,BC,45-54 yrs,Males,"Wages, salaries and commissions",64000
2007,BC,45-54 yrs,Males,"Wages, salaries and commissions",68700
2008,BC,45-54 yrs,Males,"Wages, salaries and commissions",66200
2009,BC,45-54 yrs,Males,"Wages, salaries and commissions",54600
2010,BC,45-54 yrs,Males,"Wages, salaries and commissions",63700
2011,BC,45-54 yrs,Males,"Wages, salaries and commissions",64700
2012,BC,45-54 yrs,Males,"Wages, salaries and commissions",66600
2013,BC,45-54 yrs,Males,"Wages, salaries and commissions",66300
2014,BC,45-54 yrs,Males,"Wages, salaries and commissions",66400
2015,BC,45-54 yrs,Males,"Wages, salaries and commissions",70800
2016,BC,45-54 yrs,Males,"Wages, salaries and commissions",67300
2017,BC,45-54 yrs,Males,"Wages, salaries and commissions",68100
2018,BC,45-54 yrs,Males,"Wages, salaries and commissions",64800
1976,BC,45-54 yrs,Males,Self-employment income,34300
1977,BC,45-54 yrs,Males,Self-employment income,27700
1978,BC,45-54 yrs,Males,Self-employment income,18100
1979,BC,45-54 yrs,Males,Self-employment income,20000
1980,BC,45-54 yrs,Males,Self-employment income,13500
1981,BC,45-54 yrs,Males,Self-employment income,28500
1982,BC,45-54 yrs,Males,Self-employment income,13800
1983,BC,45-54 yrs,Males,Self-employment income,16100
1984,BC,45-54 yrs,Males,Self-employment income,11000
1985,BC,45-54 yrs,Males,Self-employment income,17700
1986,BC,45-54 yrs,Males,Self-employment income,20300
1987,BC,45-54 yrs,Males,Self-employment income,19400
1988,BC,45-54 yrs,Males,Self-employment income,16100
1989,BC,45-54 yrs,Males,Self-employment income,23700
1990,BC,45-54 yrs,Males,Self-employment income,14900
1991,BC,45-54 yrs,Males,Self-employment income,16100
1992,BC,45-54 yrs,Males,Self-employment income,23800
1993,BC,45-54 yrs,Males,Self-employment income,18700
1994,BC,45-54 yrs,Males,Self-employment income,18700
1995,BC,45-54 yrs,Males,Self-employment income,13700
1996,BC,45-54 yrs,Males,Self-employment income,18000
1997,BC,45-54 yrs,Males,Self-employment income,17000
1998,BC,45-54 yrs,Males,Self-employment income,
1999,BC,45-54 yrs,Males,Self-employment income,17100
2000,BC,45-54 yrs,Males,Self-employment income,16000
2001,BC,45-54 yrs,Males,Self-employment income,
2002,BC,45-54 yrs,Males,Self-employment income,13600
2003,BC,45-54 yrs,Males,Self-employment income,12500
2004,BC,45-54 yrs,Males,Self-employment income,14300
2005,BC,45-54 yrs,Males,Self-employment income,20600
2006,BC,45-54 yrs,Males,Self-employment income,
2007,BC,45-54 yrs,Males,Self-employment income,17100
2008,BC,45-54 yrs,Males,Self-employment income,16400
2009,BC,45-54 yrs,Males,Self-employment income,18000
2010,BC,45-54 yrs,Males,Self-employment income,17500
2011,BC,45-54 yrs,Males,Self-employment income,11100
2012,BC,45-54 yrs,Males,Self-employment income,
2013,BC,45-54 yrs,Males,Self-employment income,
2014,BC,45-54 yrs,Males,Self-employment income,
2015,BC,45-54 yrs,Males,Self-employment income,26800
2016,BC,45-54 yrs,Males,Self-employment income,
2017,BC,45-54 yrs,Males,Self-employment income,11700
2018,BC,45-54 yrs,Males,Self-employment income,13000
1976,BC,45-54 yrs,Males,Government transfers,2300
1977,BC,45-54 yrs,Males,Government transfers,2300
1978,BC,45-54 yrs,Males,Government transfers,2200
1979,BC,45-54 yrs,Males,Government transfers,1600
1980,BC,45-54 yrs,Males,Government transfers,1600
1981,BC,45-54 yrs,Males,Government transfers,1500
1982,BC,45-54 yrs,Males,Government transfers,1600
1983,BC,45-54 yrs,Males,Government transfers,1600
1984,BC,45-54 yrs,Males,Government transfers,1600
1985,BC,45-54 yrs,Males,Government transfers,2300
1986,BC,45-54 yrs,Males,Government transfers,1500
1987,BC,45-54 yrs,Males,Government transfers,1500
1988,BC,45-54 yrs,Males,Government transfers,1500
1989,BC,45-54 yrs,Males,Government transfers,1400
1990,BC,45-54 yrs,Males,Government transfers,1400
1991,BC,45-54 yrs,Males,Government transfers,1300
1992,BC,45-54 yrs,Males,Government transfers,1300
1993,BC,45-54 yrs,Males,Government transfers,
1994,BC,45-54 yrs,Males,Government transfers,4300
1995,BC,45-54 yrs,Males,Government transfers,2800
1996,BC,45-54 yrs,Males,Government transfers,
1997,BC,45-54 yrs,Males,Government transfers,
1998,BC,45-54 yrs,Males,Government transfers,
1999,BC,45-54 yrs,Males,Government transfers,700
2000,BC,45-54 yrs,Males,Government transfers,900
2001,BC,45-54 yrs,Males,Government transfers,1200
2002,BC,45-54 yrs,Males,Government transfers,
2003,BC,45-54 yrs,Males,Government transfers,
2004,BC,45-54 yrs,Males,Government transfers,
2005,BC,45-54 yrs,Males,Government transfers,700
2006,BC,45-54 yrs,Males,Government transfers,900
2007,BC,45-54 yrs,Males,Government transfers,
2008,BC,45-54 yrs,Males,Government transfers,100
2009,BC,45-54 yrs,Males,Government transfers,2400
2010,BC,45-54 yrs,Males,Government transfers,2700
2011,BC,45-54 yrs,Males,Government transfers,3200
2012,BC,45-54 yrs,Males,Government transfers,
2013,BC,45-54 yrs,Males,Government transfers,
2014,BC,45-54 yrs,Males,Government transfers,1700
2015,BC,45-54 yrs,Males,Government transfers,1300
2016,BC,45-54 yrs,Males,Government transfers,600
2017,BC,45-54 yrs,Males,Government transfers,3100
2018,BC,45-54 yrs,Males,Government transfers,1900
1976,BC,45-54 yrs,Females,Total income,27100
1977,BC,45-54 yrs,Females,Total income,25500
1978,BC,45-54 yrs,Females,Total income,27200
1979,BC,45-54 yrs,Females,Total income,25400
1980,BC,45-54 yrs,Females,Total income,33600
1981,BC,45-54 yrs,Females,Total income,28800
1982,BC,45-54 yrs,Females,Total income,27100
1983,BC,45-54 yrs,Females,Total income,24600
1984,BC,45-54 yrs,Females,Total income,23300
1985,BC,45-54 yrs,Females,Total income,26500
1986,BC,45-54 yrs,Females,Total income,29200
1987,BC,45-54 yrs,Females,Total income,26900
1988,BC,45-54 yrs,Females,Total income,27900
1989,BC,45-54 yrs,Females,Total income,27400
1990,BC,45-54 yrs,Females,Total income,30600
1991,BC,45-54 yrs,Females,Total income,29300
1992,BC,45-54 yrs,Females,Total income,32300
1993,BC,45-54 yrs,Females,Total income,32300
1994,BC,45-54 yrs,Females,Total income,32100
1995,BC,45-54 yrs,Females,Total income,33500
1996,BC,45-54 yrs,Females,Total income,31900
1997,BC,45-54 yrs,Females,Total income,32000
1998,BC,45-54 yrs,Females,Total income,32200
1999,BC,45-54 yrs,Females,Total income,31200
2000,BC,45-54 yrs,Females,Total income,25900
2001,BC,45-54 yrs,Females,Total income,28800
2002,BC,45-54 yrs,Females,Total income,28000
2003,BC,45-54 yrs,Females,Total income,27200
2004,BC,45-54 yrs,Females,Total income,29400
2005,BC,45-54 yrs,Females,Total income,31200
2006,BC,45-54 yrs,Females,Total income,33200
2007,BC,45-54 yrs,Females,Total income,33500
2008,BC,45-54 yrs,Females,Total income,35200
2009,BC,45-54 yrs,Females,Total income,37200
2010,BC,45-54 yrs,Females,Total income,33900
2011,BC,45-54 yrs,Females,Total income,33900
2012,BC,45-54 yrs,Females,Total income,38400
2013,BC,45-54 yrs,Females,Total income,36000
2014,BC,45-54 yrs,Females,Total income,37900
2015,BC,45-54 yrs,Females,Total income,41200
2016,BC,45-54 yrs,Females,Total income,36500
2017,BC,45-54 yrs,Females,Total income,45500
2018,BC,45-54 yrs,Females,Total income,44200
1976,BC,45-54 yrs,Females,Market income,25700
1977,BC,45-54 yrs,Females,Market income,27000
1978,BC,45-54 yrs,Females,Market income,25700
1979,BC,45-54 yrs,Females,Market income,22600
1980,BC,45-54 yrs,Females,Market income,33700
1981,BC,45-54 yrs,Females,Market income,28900
1982,BC,45-54 yrs,Females,Market income,26100
1983,BC,45-54 yrs,Females,Market income,24800
1984,BC,45-54 yrs,Females,Market income,22000
1985,BC,45-54 yrs,Females,Market income,26100
1986,BC,45-54 yrs,Females,Market income,27500
1987,BC,45-54 yrs,Females,Market income,26700
1988,BC,45-54 yrs,Females,Market income,27500
1989,BC,45-54 yrs,Females,Market income,27500
1990,BC,45-54 yrs,Females,Market income,30600
1991,BC,45-54 yrs,Females,Market income,29000
1992,BC,45-54 yrs,Females,Market income,31800
1993,BC,45-54 yrs,Females,Market income,32700
1994,BC,45-54 yrs,Females,Market income,32200
1995,BC,45-54 yrs,Females,Market income,33600
1996,BC,45-54 yrs,Females,Market income,32900
1997,BC,45-54 yrs,Females,Market income,32500
1998,BC,45-54 yrs,Females,Market income,33300
1999,BC,45-54 yrs,Females,Market income,32100
2000,BC,45-54 yrs,Females,Market income,27100
2001,BC,45-54 yrs,Females,Market income,29800
2002,BC,45-54 yrs,Females,Market income,29400
2003,BC,45-54 yrs,Females,Market income,29300
2004,BC,45-54 yrs,Females,Market income,30800
2005,BC,45-54 yrs,Females,Market income,31000
2006,BC,45-54 yrs,Females,Market income,31800
2007,BC,45-54 yrs,Females,Market income,33900
2008,BC,45-54 yrs,Females,Market income,35400
2009,BC,45-54 yrs,Females,Market income,36700
2010,BC,45-54 yrs,Females,Market income,35400
2011,BC,45-54 yrs,Females,Market income,34600
2012,BC,45-54 yrs,Females,Market income,37700
2013,BC,45-54 yrs,Females,Market income,37600
2014,BC,45-54 yrs,Females,Market income,37200
2015,BC,45-54 yrs,Females,Market income,42200
2016,BC,45-54 yrs,Females,Market income,36900
2017,BC,45-54 yrs,Females,Market income,46800
2018,BC,45-54 yrs,Females,Market income,44900
1976,BC,45-54 yrs,Females,Employment income,30600
1977,BC,45-54 yrs,Females,Employment income,28100
1978,BC,45-54 yrs,Females,Employment income,26000
1979,BC,45-54 yrs,Females,Employment income,24000
1980,BC,45-54 yrs,Females,Employment income,36400
1981,BC,45-54 yrs,Females,Employment income,28300
1982,BC,45-54 yrs,Females,Employment income,24400
1983,BC,45-54 yrs,Females,Employment income,25400
1984,BC,45-54 yrs,Females,Employment income,23100
1985,BC,45-54 yrs,Females,Employment income,27200
1986,BC,45-54 yrs,Females,Employment income,27800
1987,BC,45-54 yrs,Females,Employment income,27800
1988,BC,45-54 yrs,Females,Employment income,27700
1989,BC,45-54 yrs,Females,Employment income,27700
1990,BC,45-54 yrs,Females,Employment income,28900
1991,BC,45-54 yrs,Females,Employment income,29000
1992,BC,45-54 yrs,Females,Employment income,32000
1993,BC,45-54 yrs,Females,Employment income,33700
1994,BC,45-54 yrs,Females,Employment income,33900
1995,BC,45-54 yrs,Females,Employment income,35000
1996,BC,45-54 yrs,Females,Employment income,36000
1997,BC,45-54 yrs,Females,Employment income,35400
1998,BC,45-54 yrs,Females,Employment income,36200
1999,BC,45-54 yrs,Females,Employment income,34000
2000,BC,45-54 yrs,Females,Employment income,31600
2001,BC,45-54 yrs,Females,Employment income,33400
2002,BC,45-54 yrs,Females,Employment income,30500
2003,BC,45-54 yrs,Females,Employment income,30800
2004,BC,45-54 yrs,Females,Employment income,32500
2005,BC,45-54 yrs,Females,Employment income,33100
2006,BC,45-54 yrs,Females,Employment income,34300
2007,BC,45-54 yrs,Females,Employment income,34700
2008,BC,45-54 yrs,Females,Employment income,38000
2009,BC,45-54 yrs,Females,Employment income,38300
2010,BC,45-54 yrs,Females,Employment income,36200
2011,BC,45-54 yrs,Females,Employment income,34500
2012,BC,45-54 yrs,Females,Employment income,37700
2013,BC,45-54 yrs,Females,Employment income,38300
2014,BC,45-54 yrs,Females,Employment income,37500
2015,BC,45-54 yrs,Females,Employment income,41600
2016,BC,45-54 yrs,Females,Employment income,37300
2017,BC,45-54 yrs,Females,Employment income,45500
2018,BC,45-54 yrs,Females,Employment income,45000
1976,BC,45-54 yrs,Females,"Wages, salaries and commissions",25700
1977,BC,45-54 yrs,Females,"Wages, salaries and commissions",29800
1978,BC,45-54 yrs,Females,"Wages, salaries and commissions",28400
1979,BC,45-54 yrs,Females,"Wages, salaries and commissions",25900
1980,BC,45-54 yrs,Females,"Wages, salaries and commissions",36400
1981,BC,45-54 yrs,Females,"Wages, salaries and commissions",28500
1982,BC,45-54 yrs,Females,"Wages, salaries and commissions",24500
1983,BC,45-54 yrs,Females,"Wages, salaries and commissions",27600
1984,BC,45-54 yrs,Females,"Wages, salaries and commissions",23400
1985,BC,45-54 yrs,Females,"Wages, salaries and commissions",29000
1986,BC,45-54 yrs,Females,"Wages, salaries and commissions",28800
1987,BC,45-54 yrs,Females,"Wages, salaries and commissions",29800
1988,BC,45-54 yrs,Females,"Wages, salaries and commissions",29200
1989,BC,45-54 yrs,Females,"Wages, salaries and commissions",27500
1990,BC,45-54 yrs,Females,"Wages, salaries and commissions",28900
1991,BC,45-54 yrs,Females,"Wages, salaries and commissions",30200
1992,BC,45-54 yrs,Females,"Wages, salaries and commissions",33400
1993,BC,45-54 yrs,Females,"Wages, salaries and commissions",35500
1994,BC,45-54 yrs,Females,"Wages, salaries and commissions",34700
1995,BC,45-54 yrs,Females,"Wages, salaries and commissions",37100
1996,BC,45-54 yrs,Females,"Wages, salaries and commissions",37500
1997,BC,45-54 yrs,Females,"Wages, salaries and commissions",38500
1998,BC,45-54 yrs,Females,"Wages, salaries and commissions",37400
1999,BC,45-54 yrs,Females,"Wages, salaries and commissions",36100
2000,BC,45-54 yrs,Females,"Wages, salaries and commissions",35400
2001,BC,45-54 yrs,Females,"Wages, salaries and commissions",37500
2002,BC,45-54 yrs,Females,"Wages, salaries and commissions",36900
2003,BC,45-54 yrs,Females,"Wages, salaries and commissions",34100
2004,BC,45-54 yrs,Females,"Wages, salaries and commissions",35300
2005,BC,45-54 yrs,Females,"Wages, salaries and commissions",34200
2006,BC,45-54 yrs,Females,"Wages, salaries and commissions",36200
2007,BC,45-54 yrs,Females,"Wages, salaries and commissions",36300
2008,BC,45-54 yrs,Females,"Wages, salaries and commissions",39700
2009,BC,45-54 yrs,Females,"Wages, salaries and commissions",39600
2010,BC,45-54 yrs,Females,"Wages, salaries and commissions",37900
2011,BC,45-54 yrs,Females,"Wages, salaries and commissions",36200
2012,BC,45-54 yrs,Females,"Wages, salaries and commissions",39500
2013,BC,45-54 yrs,Females,"Wages, salaries and commissions",42200
2014,BC,45-54 yrs,Females,"Wages, salaries and commissions",39600
2015,BC,45-54 yrs,Females,"Wages, salaries and commissions",42200
2016,BC,45-54 yrs,Females,"Wages, salaries and commissions",40900
2017,BC,45-54 yrs,Females,"Wages, salaries and commissions",46600
2018,BC,45-54 yrs,Females,"Wages, salaries and commissions",46200
1976,BC,45-54 yrs,Females,Self-employment income,
1977,BC,45-54 yrs,Females,Self-employment income,
1978,BC,45-54 yrs,Females,Self-employment income,
1979,BC,45-54 yrs,Females,Self-employment income,1700
1980,BC,45-54 yrs,Females,Self-employment income,
1981,BC,45-54 yrs,Females,Self-employment income,6200
1982,BC,45-54 yrs,Females,Self-employment income,2100
1983,BC,45-54 yrs,Females,Self-employment income,
1984,BC,45-54 yrs,Females,Self-employment income,10900
1985,BC,45-54 yrs,Females,Self-employment income,3200
1986,BC,45-54 yrs,Females,Self-employment income,2500
1987,BC,45-54 yrs,Females,Self-employment income,12700
1988,BC,45-54 yrs,Females,Self-employment income,8000
1989,BC,45-54 yrs,Females,Self-employment income,22600
1990,BC,45-54 yrs,Females,Self-employment income,10200
1991,BC,45-54 yrs,Females,Self-employment income,9700
1992,BC,45-54 yrs,Females,Self-employment income,15100
1993,BC,45-54 yrs,Females,Self-employment income,11900
1994,BC,45-54 yrs,Females,Self-employment income,12500
1995,BC,45-54 yrs,Females,Self-employment income,13200
1996,BC,45-54 yrs,Females,Self-employment income,
1997,BC,45-54 yrs,Females,Self-employment income,11800
1998,BC,45-54 yrs,Females,Self-employment income,
1999,BC,45-54 yrs,Females,Self-employment income,10100
2000,BC,45-54 yrs,Females,Self-employment income,10900
2001,BC,45-54 yrs,Females,Self-employment income,10900
2002,BC,45-54 yrs,Females,Self-employment income,7600
2003,BC,45-54 yrs,Females,Self-employment income,
2004,BC,45-54 yrs,Females,Self-employment income,10400
2005,BC,45-54 yrs,Females,Self-employment income,10200
2006,BC,45-54 yrs,Females,Self-employment income,6700
2007,BC,45-54 yrs,Females,Self-employment income,11800
2008,BC,45-54 yrs,Females,Self-employment income,14000
2009,BC,45-54 yrs,Females,Self-employment income,12300
2010,BC,45-54 yrs,Females,Self-employment income,
2011,BC,45-54 yrs,Females,Self-employment income,
2012,BC,45-54 yrs,Females,Self-employment income,7600
2013,BC,45-54 yrs,Females,Self-employment income,
2014,BC,45-54 yrs,Females,Self-employment income,9900
2015,BC,45-54 yrs,Females,Self-employment income,15500
2016,BC,45-54 yrs,Females,Self-employment income,
2017,BC,45-54 yrs,Females,Self-employment income,10400
2018,BC,45-54 yrs,Females,Self-employment income,
1976,BC,45-54 yrs,Females,Government transfers,2200
1977,BC,45-54 yrs,Females,Government transfers,2400
1978,BC,45-54 yrs,Females,Government transfers,4500
1979,BC,45-54 yrs,Females,Government transfers,4300
1980,BC,45-54 yrs,Females,Government transfers,1600
1981,BC,45-54 yrs,Females,Government transfers,1500
1982,BC,45-54 yrs,Females,Government transfers,1700
1983,BC,45-54 yrs,Females,Government transfers,2100
1984,BC,45-54 yrs,Females,Government transfers,2900
1985,BC,45-54 yrs,Females,Government transfers,2000
1986,BC,45-54 yrs,Females,Government transfers,2900
1987,BC,45-54 yrs,Females,Government transfers,2700
1988,BC,45-54 yrs,Females,Government transfers,2300
1989,BC,45-54 yrs,Females,Government transfers,1800
1990,BC,45-54 yrs,Females,Government transfers,1400
1991,BC,45-54 yrs,Females,Government transfers,2000
1992,BC,45-54 yrs,Females,Government transfers,2400
1993,BC,45-54 yrs,Females,Government transfers,2600
1994,BC,45-54 yrs,Females,Government transfers,2700
1995,BC,45-54 yrs,Females,Government transfers,2300
1996,BC,45-54 yrs,Females,Government transfers,2500
1997,BC,45-54 yrs,Females,Government transfers,1700
1998,BC,45-54 yrs,Females,Government transfers,2600
1999,BC,45-54 yrs,Females,Government transfers,2300
2000,BC,45-54 yrs,Females,Government transfers,2200
2001,BC,45-54 yrs,Females,Government transfers,1700
2002,BC,45-54 yrs,Females,Government transfers,2400
2003,BC,45-54 yrs,Females,Government transfers,1700
2004,BC,45-54 yrs,Females,Government transfers,
2005,BC,45-54 yrs,Females,Government transfers,1700
2006,BC,45-54 yrs,Females,Government transfers,1700
2007,BC,45-54 yrs,Females,Government transfers,1900
2008,BC,45-54 yrs,Females,Government transfers,400
2009,BC,45-54 yrs,Females,Government transfers,1700
2010,BC,45-54 yrs,Females,Government transfers,2300
2011,BC,45-54 yrs,Females,Government transfers,2300
2012,BC,45-54 yrs,Females,Government transfers,2500
2013,BC,45-54 yrs,Females,Government transfers,1800
2014,BC,45-54 yrs,Females,Government transfers,2400
2015,BC,45-54 yrs,Females,Government transfers,1800
2016,BC,45-54 yrs,Females,Government transfers,2600
2017,BC,45-54 yrs,Females,Government transfers,4200
2018,BC,45-54 yrs,Females,Government transfers,3100
1976,BC,55-64 yrs,Both sexes,Total income,41200
1977,BC,55-64 yrs,Both sexes,Total income,37200
1978,BC,55-64 yrs,Both sexes,Total income,36400
1979,BC,55-64 yrs,Both sexes,Total income,40700
1980,BC,55-64 yrs,Both sexes,Total income,36900
1981,BC,55-64 yrs,Both sexes,Total income,37100
1982,BC,55-64 yrs,Both sexes,Total income,37400
1983,BC,55-64 yrs,Both sexes,Total income,31500
1984,BC,55-64 yrs,Both sexes,Total income,29800
1985,BC,55-64 yrs,Both sexes,Total income,29400
1986,BC,55-64 yrs,Both sexes,Total income,32700
1987,BC,55-64 yrs,Both sexes,Total income,35100
1988,BC,55-64 yrs,Both sexes,Total income,36200
1989,BC,55-64 yrs,Both sexes,Total income,35400
1990,BC,55-64 yrs,Both sexes,Total income,33200
1991,BC,55-64 yrs,Both sexes,Total income,31100
1992,BC,55-64 yrs,Both sexes,Total income,31400
1993,BC,55-64 yrs,Both sexes,Total income,28600
1994,BC,55-64 yrs,Both sexes,Total income,28700
1995,BC,55-64 yrs,Both sexes,Total income,27900
1996,BC,55-64 yrs,Both sexes,Total income,30400
1997,BC,55-64 yrs,Both sexes,Total income,31600
1998,BC,55-64 yrs,Both sexes,Total income,28100
1999,BC,55-64 yrs,Both sexes,Total income,28300
2000,BC,55-64 yrs,Both sexes,Total income,25400
2001,BC,55-64 yrs,Both sexes,Total income,31000
2002,BC,55-64 yrs,Both sexes,Total income,31500
2003,BC,55-64 yrs,Both sexes,Total income,35000
2004,BC,55-64 yrs,Both sexes,Total income,33600
2005,BC,55-64 yrs,Both sexes,Total income,36700
2006,BC,55-64 yrs,Both sexes,Total income,39200
2007,BC,55-64 yrs,Both sexes,Total income,37600
2008,BC,55-64 yrs,Both sexes,Total income,35800
2009,BC,55-64 yrs,Both sexes,Total income,43500
2010,BC,55-64 yrs,Both sexes,Total income,37800
2011,BC,55-64 yrs,Both sexes,Total income,34500
2012,BC,55-64 yrs,Both sexes,Total income,37800
2013,BC,55-64 yrs,Both sexes,Total income,38300
2014,BC,55-64 yrs,Both sexes,Total income,37600
2015,BC,55-64 yrs,Both sexes,Total income,37500
2016,BC,55-64 yrs,Both sexes,Total income,41800
2017,BC,55-64 yrs,Both sexes,Total income,41100
2018,BC,55-64 yrs,Both sexes,Total income,44400
1976,BC,55-64 yrs,Both sexes,Market income,47300
1977,BC,55-64 yrs,Both sexes,Market income,41700
1978,BC,55-64 yrs,Both sexes,Market income,36400
1979,BC,55-64 yrs,Both sexes,Market income,43400
1980,BC,55-64 yrs,Both sexes,Market income,42000
1981,BC,55-64 yrs,Both sexes,Market income,39700
1982,BC,55-64 yrs,Both sexes,Market income,39900
1983,BC,55-64 yrs,Both sexes,Market income,34400
1984,BC,55-64 yrs,Both sexes,Market income,29800
1985,BC,55-64 yrs,Both sexes,Market income,31100
1986,BC,55-64 yrs,Both sexes,Market income,32900
1987,BC,55-64 yrs,Both sexes,Market income,35100
1988,BC,55-64 yrs,Both sexes,Market income,37500
1989,BC,55-64 yrs,Both sexes,Market income,36900
1990,BC,55-64 yrs,Both sexes,Market income,34000
1991,BC,55-64 yrs,Both sexes,Market income,29000
1992,BC,55-64 yrs,Both sexes,Market income,31900
1993,BC,55-64 yrs,Both sexes,Market income,28500
1994,BC,55-64 yrs,Both sexes,Market income,30000
1995,BC,55-64 yrs,Both sexes,Market income,27900
1996,BC,55-64 yrs,Both sexes,Market income,30000
1997,BC,55-64 yrs,Both sexes,Market income,32500
1998,BC,55-64 yrs,Both sexes,Market income,27400
1999,BC,55-64 yrs,Both sexes,Market income,27100
2000,BC,55-64 yrs,Both sexes,Market income,25500
2001,BC,55-64 yrs,Both sexes,Market income,31000
2002,BC,55-64 yrs,Both sexes,Market income,31400
2003,BC,55-64 yrs,Both sexes,Market income,32400
2004,BC,55-64 yrs,Both sexes,Market income,31900
2005,BC,55-64 yrs,Both sexes,Market income,35700
2006,BC,55-64 yrs,Both sexes,Market income,38700
2007,BC,55-64 yrs,Both sexes,Market income,37600
2008,BC,55-64 yrs,Both sexes,Market income,38600
2009,BC,55-64 yrs,Both sexes,Market income,43700
2010,BC,55-64 yrs,Both sexes,Market income,39900
2011,BC,55-64 yrs,Both sexes,Market income,37200
2012,BC,55-64 yrs,Both sexes,Market income,38100
2013,BC,55-64 yrs,Both sexes,Market income,39000
2014,BC,55-64 yrs,Both sexes,Market income,37000
2015,BC,55-64 yrs,Both sexes,Market income,38000
2016,BC,55-64 yrs,Both sexes,Market income,42000
2017,BC,55-64 yrs,Both sexes,Market income,42100
2018,BC,55-64 yrs,Both sexes,Market income,43700
1976,BC,55-64 yrs,Both sexes,Employment income,45900
1977,BC,55-64 yrs,Both sexes,Employment income,48800
1978,BC,55-64 yrs,Both sexes,Employment income,47600
1979,BC,55-64 yrs,Both sexes,Employment income,49400
1980,BC,55-64 yrs,Both sexes,Employment income,43700
1981,BC,55-64 yrs,Both sexes,Employment income,44900
1982,BC,55-64 yrs,Both sexes,Employment income,43700
1983,BC,55-64 yrs,Both sexes,Employment income,42300
1984,BC,55-64 yrs,Both sexes,Employment income,38000
1985,BC,55-64 yrs,Both sexes,Employment income,38700
1986,BC,55-64 yrs,Both sexes,Employment income,39100
1987,BC,55-64 yrs,Both sexes,Employment income,37000
1988,BC,55-64 yrs,Both sexes,Employment income,39000
1989,BC,55-64 yrs,Both sexes,Employment income,47500
1990,BC,55-64 yrs,Both sexes,Employment income,36300
1991,BC,55-64 yrs,Both sexes,Employment income,29300
1992,BC,55-64 yrs,Both sexes,Employment income,34900
1993,BC,55-64 yrs,Both sexes,Employment income,26500
1994,BC,55-64 yrs,Both sexes,Employment income,31800
1995,BC,55-64 yrs,Both sexes,Employment income,31100
1996,BC,55-64 yrs,Both sexes,Employment income,35100
1997,BC,55-64 yrs,Both sexes,Employment income,35400
1998,BC,55-64 yrs,Both sexes,Employment income,34300
1999,BC,55-64 yrs,Both sexes,Employment income,29200
2000,BC,55-64 yrs,Both sexes,Employment income,28000
2001,BC,55-64 yrs,Both sexes,Employment income,26600
2002,BC,55-64 yrs,Both sexes,Employment income,26800
2003,BC,55-64 yrs,Both sexes,Employment income,30700
2004,BC,55-64 yrs,Both sexes,Employment income,28800
2005,BC,55-64 yrs,Both sexes,Employment income,35100
2006,BC,55-64 yrs,Both sexes,Employment income,41600
